08-05 11:44:47.928|DEBUG|GamesEditor:Using generic controller to start emulated game.
08-05 11:44:47.938|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
08-05 11:44:47.962|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
08-05 11:46:54.719|INFO |GamesEditor:Game The Legend of Zelda: Tears of the Kingdom stopped after 127 seconds.
08-05 11:51:39.033|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
08-05 11:51:39.033|DEBUG|GamesEditor:Using generic controller to start emulated game.
08-05 11:51:39.033|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
08-05 11:51:39.059|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
08-05 12:51:59.288|INFO |GamesEditor:Game The Legend of Zelda: Tears of the Kingdom stopped after 3620 seconds.
08-05 12:52:10.973|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.GameEditWindowFactory: 637541c2-896e-42ac-9cb5-27da750fe2f7
08-05 12:54:03.327|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.GameEditWindowFactory: aaa5da7e-4037-471d-ac35-60358d8be4fd
08-05 12:54:32.366|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.GameEditWindowFactory: fd7ece88-733c-4ba0-ab7f-3406ebfb295e
08-05 12:54:59.836|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.GameEditWindowFactory: f330e6b8-4120-436c-af64-26b25fc3e479
08-05 14:04:38.071|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
08-05 14:04:38.083|DEBUG|GamesEditor:Using generic controller to start emulated game.
08-05 14:04:38.083|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
08-05 14:04:38.099|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
08-05 15:45:18.392|INFO |GamesEditor:Game The Legend of Zelda: Tears of the Kingdom stopped after 6040 seconds.
08-05 15:49:25.570|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.SettingsWindowFactory: eefcf6e9-5918-4af8-b128-54614336a13c
08-05 15:49:37.733|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.SettingsWindowFactory: eefcf6e9-5918-4af8-b128-54614336a13c, True
08-05 15:49:41.747|INFO |PlayniteApplication:Shutting down application because of session ending.
08-05 15:49:41.861|DEBUG|PlayniteApplication:Releasing Playnite resources...
